GID,tif,min,max,mean,count,sum,std,median,percentile_90
1995_1241,1995_1241_rbr_w_offset.tif,-72.95813751220703,473.1187744140625,230.15973781270046,3118,717638.0625,96.17945619597869,237.328369140625,345.997314453125
2021_1619,2021_1619_rbr_w_offset.tif,-24.72388458251953,508.4975280761719,292.08204255935146,1727,504425.6875,126.88673070684617,319.6374816894531,435.62237548828125
2001_371,2001_371_rbr_w_offset.tif,-27.462879180908203,503.8712463378906,297.2765786877158,2027,602579.625,116.49677764344078,314.3930358886719,436.1195068359375
2011_731,2011_731_rbr_w_offset.tif,-99.89512634277344,604.3272705078125,245.5666319784525,1021,250723.53125,147.33117251445856,241.48550415039062,442.5083923339844
2003_735,2003_735_rbr_w_offset.tif,-778.9428100585938,602.9234619140625,231.93675648867583,604900,140298544.0,193.31222796170115,272.40264892578125,461.5750427246094
1998_746,1998_746_rbr_w_offset.tif,-348.4299621582031,538.0861206054688,214.56975395079016,49990,10726342.0,107.86776581124084,219.64724731445312,353.005126953125
2006_872,2006_872_rbr_w_offset.tif,-20.944942474365234,392.35821533203125,221.44307585685485,992,219671.53125,100.70358284376691,257.01861572265625,321.7626953125
2018_252,2018_252_rbr_w_offset.tif,-102.54581451416016,451.35491943359375,226.07746657640888,5909,1335891.75,100.20965025330688,241.97828674316406,344.7614440917969
2006_894,2006_894_rbr_w_offset.tif,-525.982177734375,304.1714172363281,15.072721255224165,658,9917.8505859375,76.89385827139195,-5.782310485839844,122.163330078125
1994_55,1994_55_rbr_w_offset.tif,-79.4307861328125,565.6176147460938,282.87541454786646,4523,1279445.5,117.97742086173437,290.8558654785156,430.0716247558594
2015_1049,2015_1049_rbr_w_offset.tif,-438.48614501953125,386.7148132324219,96.21259735202493,1605,154421.21875,178.10727303498368,156.01727294921875,298.7196960449219
2006_676,2006_676_rbr_w_offset.tif,-418.9627380371094,627.4852294921875,264.37322043932596,179047,47335232.0,130.60277441315316,270.9206237792969,428.7058410644531
1989_1078,1989_1078_rbr_w_offset.tif,-80.7894515991211,541.9810180664062,222.2978272914358,6317,1404255.375,106.38658005920556,212.42381286621094,372.3810729980469
2018_3146,2018_3146_rbr_w_offset.tif,-242.83721923828125,557.0199584960938,178.50428805092614,90484,16151782.0,137.81821393907174,196.6602020263672,344.4437255859375
2006_690,2006_690_rbr_w_offset.tif,-341.4520263671875,578.7064208984375,275.2404265526867,22928,6310712.5,142.95261056118338,288.96990966796875,451.2755432128906
2015_1091,2015_1091_rbr_w_offset.tif,-100.8794937133789,485.22607421875,-15.369200252289687,737,-11327.1005859375,128.7725408193178,-66.14643859863281,171.08523559570312
1996_625,1996_625_rbr_w_offset.tif,-262.220703125,510.1894226074219,94.70329422382672,35456,3357800.0,153.56427832989021,51.75645446777344,319.949462890625
2018_969,2018_969_rbr_w_offset.tif,-497.2625427246094,546.7069091796875,140.43464880092802,84482,11864200.0,132.29966941963465,151.5591583251953,301.24444580078125
1989_1342,1989_1342_rbr_w_offset.tif,-255.32852172851562,496.6307373046875,248.275256107171,12690,3150613.0,121.74295520267462,272.9598083496094,388.4160461425781
1987_31,1987_31_rbr_w_offset.tif,-132.22398376464844,526.4647216796875,206.85220801045654,10711,2215594.0,113.74260060346516,217.57156372070312,346.0243835449219
1998_845,1998_845_rbr_w_offset.tif,-106.43640899658203,495.6293640136719,219.2088872212693,1749,383396.34375,96.50863016638026,232.24197387695312,328.1360778808594
1995_848,1995_848_rbr_w_offset.tif,-327.30853271484375,593.2852783203125,251.24404863290914,123291,30976130.0,125.4015918794545,267.82958984375,401.16998291015625
1993_15,1993_15_rbr_w_offset.tif,-579.337646484375,510.26611328125,31.666400292636258,177695,5626961.0,176.65743322219512,-6.519333839416504,287.9580383300781
2017_2037,2017_2037_rbr_w_offset.tif,-258.3276672363281,603.3878173828125,206.11826057700395,23778,4901080.0,190.9253795287667,232.1080322265625,453.5722351074219
2024_501,2024_501_rbr_w_offset.tif,-300.4900207519531,568.5999755859375,285.26313936249073,6745,1924099.875,106.63712476296051,300.91510009765625,409.93804931640625
2012_604,2012_604_rbr_w_offset.tif,-28.88611602783203,473.5570068359375,246.9206163903806,8566,2115122.0,101.34371733781927,252.0897216796875,377.13348388671875
1996_544,1996_544_rbr_w_offset.tif,-144.74069213867188,622.6015014648438,293.6976754652445,44439,13051631.0,139.5253965178599,308.7584533691406,463.72149658203125
1999_432,1999_432_rbr_w_offset.tif,-291.1400146484375,253.05580139160156,0.015429389673879596,73121,1128.21240234375,3.3627234446819045,0.0,0.0
1996_640,1996_640_rbr_w_offset.tif,-297.5901794433594,601.8443603515625,234.5781800210045,32374,7594234.0,169.1059880733714,232.5032501220703,468.32806396484375
1989_1319,1989_1319_rbr_w_offset.tif,-64.41222381591797,585.013427734375,338.25442176870746,11760,3977872.0,128.63826013275548,358.6461486816406,489.9079284667969
1989_1124,1989_1124_rbr_w_offset.tif,-76.51897430419922,468.5889892578125,214.09793209650218,13637,2919653.5,102.4793547471776,207.13494873046875,355.4410095214844
2006_714,2006_714_rbr_w_offset.tif,-86.41997528076172,274.67596435546875,69.16296928327645,586,40529.5,101.04163189661557,36.56983947753906,196.48263549804688
2018_736,2018_736_rbr_w_offset.tif,-32.76607131958008,329.697265625,101.24186197916667,24,2429.8046875,111.18287022633186,56.25194549560547,286.1114196777344
2011_557,2011_557_rbr_w_offset.tif,-383.8700866699219,540.529296875,276.04221078298565,18455,5094359.0,125.97084932087395,287.15509033203125,429.95989990234375
2001_314,2001_314_rbr_w_offset.tif,-99.83616638183594,474.14202880859375,239.26590756865372,1493,357224.0,130.6430547197515,259.5973815917969,398.3244323730469
1988_20,1988_20_rbr_w_offset.tif,-686.1619262695312,465.509765625,120.12850017500875,22856,2745657.0,118.11892768319807,138.38839721679688,256.61627197265625
2005_598,2005_598_rbr_w_offset.tif,-38.06538009643555,508.0621643066406,261.54925256581885,2241,586131.875,122.55649748640336,277.4252624511719,408.48443603515625
2003_750,2003_750_rbr_w_offset.tif,-89.90754699707031,478.97271728515625,240.85832294264338,2406,579505.125,139.98791761594495,275.43328857421875,393.92474365234375
2013_728,2013_728_rbr_w_offset.tif,-101.86944580078125,508.41534423828125,257.31098227039746,11901,3062258.0,117.95651475579534,271.3352355957031,400.2994079589844
1992_34,1992_34_rbr_w_offset.tif,-239.86083984375,544.7306518554688,251.9723780294211,18898,4761774.0,118.91019151006084,263.5225830078125,400.02197265625
1991_82,1991_82_rbr_w_offset.tif,-989.8816528320312,586.3395385742188,274.43229322531835,237251,65109336.0,145.28645774340458,300.2977600097656,421.62005615234375
2021_2313,2021_2313_rbr_w_offset.tif,-333.8786926269531,432.0109558105469,121.99951847624483,7009,855094.625,109.88348331155576,117.69562530517578,271.251953125
1995_1400,1995_1400_rbr_w_offset.tif,-173.2349853515625,370.4150390625,142.56957378223495,1047,149270.34375,115.97315214978553,153.7330780029297,300.41680908203125
1995_1205,1995_1205_rbr_w_offset.tif,-162.06544494628906,393.9720153808594,175.9089511966213,10655,1874309.875,89.05074574126726,185.67172241210938,281.1466369628906
1998_605,1998_605_rbr_w_offset.tif,-182.33367919921875,460.4751281738281,151.61799323230838,33985,5152737.5,142.0686618969384,175.59593200683594,326.1476135253906
2011_373,2011_373_rbr_w_offset.tif,-318.2651062011719,607.7898559570312,365.2097783738903,15657,5718089.5,129.52922636092705,387.255126953125,513.5763549804688
2021_1066,2021_1066_rbr_w_offset.tif,-216.39747619628906,404.45782470703125,119.6411353296666,44181,5285865.0,92.17655913076608,125.98577880859375,233.91046142578125
2002_559,2002_559_rbr_w_offset.tif,-223.86627197265625,610.749267578125,331.09242872155494,101819,33711500.0,135.6772944860571,363.6787414550781,480.8387451171875
2018_913,2018_913_rbr_w_offset.tif,-152.9342803955078,309.3091735839844,30.387555803571427,784,23823.84375,86.94725476843068,0.0,161.43968200683594
