GID,AOU
2001_357,TRUE
2000_532,TRUE
2024_462,FALSE
2024_467,FALSE
2024_473,FALSE
2024_482,FALSE
2024_484,FALSE
2024_492,FALSE
2024_495,FALSE
2024_496,FALSE
2024_497,FALSE
2024_498,FALSE
2024_501,FALSE
2024_636,FALSE
1996_583,TRUE
2024_650,FALSE
2006_503,FALSE
2024_958,FALSE
1996_587,TRUE
2023_168,FALSE
2023_169,FALSE
2017_1452,FALSE
2006_614,FALSE
2017_1542,FALSE
2017_1548,FALSE
2023_185,FALSE
2023_186,FALSE
2023_189,FALSE
1988_76,FALSE
2023_213,FALSE
2023_1614,TRUE
2023_1617,FALSE
2023_1622,FALSE
2023_1624,FALSE
2023_1625,FALSE
2023_1626,FALSE
1988_86,FALSE
1988_90,FALSE
2023_1634,FALSE
2023_1640,FALSE
2022_254,FALSE
2017_1877,FALSE
1988_96,FALSE
2017_1970,FALSE
1988_98,FALSE
2021_1169,TRUE
2021_1197,FALSE
1988_110,FALSE
2021_1290,FALSE
1988_120,FALSE
1988_124,FALSE
1988_125,FALSE
2021_1437,FALSE
1988_144,FALSE
1988_145,FALSE
2021_1619,TRUE
2021_1631,FALSE
1988_153,FALSE
1988_154,FALSE
2021_1898,TRUE
2021_1968,FALSE
2002_734,FALSE
1987_29,TRUE
1996_723,FALSE
1996_725,FALSE
2021_2309,FALSE
2021_2311,FALSE
1995_807,FALSE
1995_821,FALSE
1995_824,FALSE
2021_2317,FALSE
1995_860,FALSE
1995_869,FALSE
2021_2320,FALSE
1995_902,FALSE
1995_906,FALSE
1995_918,FALSE
1995_948,FALSE
2020_309,FALSE
2006_886,TRUE
2020_347,FALSE
2006_891,FALSE
2006_892,FALSE
2020_527,FALSE
2020_528,FALSE
2006_896,FALSE
1995_1007,FALSE
2020_533,FALSE
2020_536,FALSE
2020_537,FALSE
2020_538,FALSE
2020_539,FALSE
2020_541,FALSE
2019_605,FALSE
2019_607,FALSE
2019_608,FALSE
2019_630,FALSE
1995_1053,FALSE
1995_1054,FALSE
1995_1069,FALSE
2003_441,FALSE
2019_1522,FALSE
2019_1523,FALSE
2019_1524,FALSE
2019_1525,FALSE
2018_90,FALSE
2018_106,FALSE
2018_252,FALSE
2018_342,FALSE
2003_542,FALSE
2018_495,FALSE
2018_519,FALSE
2018_524,FALSE
2003_666,FALSE
2003_671,FALSE
2018_710,FALSE
2013_851,FALSE
2013_859,FALSE
2018_772,FALSE
2003_728,FALSE
2013_908,FALSE
2018_969,FALSE
2013_933,FALSE
2018_1466,FALSE
2013_1185,FALSE
2018_1717,FALSE
1999_706,FALSE
2003_887,FALSE
2018_1927,FALSE
2018_1946,FALSE
2018_2018,FALSE
2018_2019,FALSE
2018_2063,FALSE
2003_894,FALSE
2003_895,FALSE
2003_896,FALSE
2018_2810,TRUE
2003_1440,FALSE
2002_448,FALSE
2017_1236,FALSE
2017_1286,FALSE
2017_1415,FALSE
2012_667,FALSE
2017_1471,FALSE
1998_625,FALSE
2012_671,FALSE
2017_1564,FALSE
2017_1616,FALSE
2017_1629,FALSE
2017_1666,FALSE
2017_1668,FALSE
2017_1677,FALSE
2017_1689,FALSE
2017_1726,FALSE
2017_1738,FALSE
2017_1770,FALSE
2017_1772,FALSE
2017_1780,FALSE
2017_1794,FALSE
2017_1801,FALSE
2017_1803,FALSE
2017_1853,FALSE
2012_1049,FALSE
2017_1964,FALSE
1989_1004,FALSE
2017_2037,FALSE
2017_2048,FALSE
1994_106,FALSE
2017_2078,FALSE
1994_110,FALSE
2017_2115,FALSE
2012_1058,FALSE
2017_2128,FALSE
1993_11,FALSE
2017_2252,TRUE
1993_14,FALSE
2002_724,FALSE
2002_727,FALSE
2002_730,FALSE
2002_731,FALSE
2002_732,FALSE
2002_733,FALSE
2011_373,FALSE
2002_735,FALSE
2002_737,FALSE
2017_3697,FALSE
2017_3698,FALSE
2017_3699,FALSE
2017_3743,FALSE
2016_541,FALSE
2016_599,FALSE
2016_600,FALSE
2001_354,FALSE
1992_46,FALSE
2015_893,FALSE
2015_914,FALSE
2015_931,FALSE
2015_957,FALSE
2015_961,FALSE
2015_1013,FALSE
2015_1035,FALSE
2015_1036,FALSE
2015_1042,FALSE
2015_1049,FALSE
2015_1055,FALSE
2015_1071,FALSE
2015_1085,FALSE
2001_377,FALSE
2001_378,FALSE
2001_379,FALSE
2001_380,FALSE
2001_381,FALSE
2015_1153,TRUE
2001_383,FALSE
2001_384,FALSE
2015_1987,FALSE
2015_1988,FALSE
2015_1990,FALSE
2015_1991,FALSE
2015_1992,FALSE
2015_1993,FALSE
2015_1994,FALSE
2014_787,FALSE
2014_891,FALSE
2014_937,FALSE
1999_376,FALSE
1999_386,FALSE
2013_702,FALSE
2013_724,FALSE
2013_726,FALSE
2013_728,FALSE
2013_744,FALSE
2013_749,FALSE
2013_800,FALSE
2013_804,FALSE
2013_848,FALSE
2013_850,FALSE
2009_320,FALSE
2009_367,FALSE
2013_904,FALSE
2013_907,FALSE
2009_438,FALSE
1999_465,FALSE
1989_1457,FALSE
1999_700,FALSE
2009_1236,FALSE
2013_1186,FALSE
2009_1240,FALSE
2013_1188,FALSE
2013_1189,FALSE
2013_1191,FALSE
2013_1192,FALSE
2013_1193,FALSE
2013_1194,FALSE
2013_1195,FALSE
2012_604,FALSE
2012_634,FALSE
2012_653,FALSE
2012_654,FALSE
2012_655,FALSE
2012_660,FALSE
2012_662,FALSE
2012_665,FALSE
2002_465,FALSE
1998_619,FALSE
2002_473,FALSE
2002_512,FALSE
2012_672,FALSE
2012_685,FALSE
1998_663,FALSE
2012_697,FALSE
2012_699,FALSE
1998_675,FALSE
2012_721,FALSE
2012_724,TRUE
1989_922,FALSE
1989_922,FALSE
1989_926,FALSE
2012_805,FALSE
1989_945,FALSE
1989_947,FALSE
1989_948,FALSE
1988_93,FALSE
2002_618,FALSE
2012_1050,FALSE
1994_86,FALSE
2012_1052,FALSE
2012_1053,FALSE
1989_1024,FALSE
1998_860,TRUE
1989_1028,FALSE
2012_1057,FALSE
1989_1033,FALSE
2012_1059,FALSE
2012_1060,FALSE
2012_1061,FALSE
2012_1062,FALSE
2011_314,FALSE
2011_323,FALSE
2011_356,FALSE
2011_360,FALSE
2011_366,FALSE
2011_368,FALSE
1992_16,FALSE
2011_374,FALSE
2011_375,FALSE
2011_377,FALSE
2011_379,FALSE
2011_399,FALSE
2011_411,FALSE
2011_423,FALSE
2011_432,FALSE
2011_433,FALSE
2011_438,FALSE
1998_893,FALSE
2011_453,FALSE
1998_895,FALSE
1998_896,FALSE
1998_899,FALSE
1998_901,FALSE
1989_1156,FALSE
2011_507,FALSE
1996_357,FALSE
1996_359,FALSE
1996_364,FALSE
1996_383,FALSE
1996_388,FALSE
1996_391,FALSE
1996_394,FALSE
1996_396,FALSE
2011_605,FALSE
2011_606,FALSE
1996_427,FALSE
1996_429,FALSE
