GID,AOU,ecoregion_lvl
2001_357,TRUE,ACP
2000_532,TRUE,ACP
2024_462,FALSE,BTL
2024_467,FALSE,BTL
2024_473,FALSE,BTL
2024_482,FALSE,BTL
2024_484,FALSE,BTL
2024_492,FALSE,BTL
2024_495,FALSE,BTL
2024_496,FALSE,BTL
2024_497,FALSE,BTL
2024_498,FALSE,BTL
2024_501,FALSE,BTL
2024_636,FALSE,BTL
1996_583,TRUE,BTL
2024_650,FALSE,BTL
2006_503,FALSE,BTL
2024_958,FALSE,BTL
1996_587,TRUE,BTL
2023_168,FALSE,BTL
2023_169,FALSE,BTL
2017_1452,FALSE,BTL
2006_614,FALSE,BTL
2017_1542,FALSE,BTL
2017_1548,FALSE,BTL
2023_185,FALSE,BTL
2023_186,FALSE,BTL
2023_189,FALSE,BTL
1988_76,FALSE,BTL
2023_213,FALSE,BTL
2023_1614,TRUE,BTL
2023_1617,FALSE,BTL
2023_1622,FALSE,BTL
2023_1624,FALSE,BTL
2023_1625,FALSE,BTL
2023_1626,FALSE,BTL
1988_86,FALSE,BTL
1988_90,FALSE,BTL
2023_1634,FALSE,BTL
2023_1640,FALSE,BTL
2022_254,FALSE,BTL
2017_1877,FALSE,BTL
1988_96,FALSE,BTL
2017_1970,FALSE,BTL
1988_98,FALSE,BTL
2021_1169,TRUE,BTL
2021_1197,FALSE,BTL
1988_110,FALSE,BTL
2021_1290,FALSE,BTL
1988_120,FALSE,BTL
1988_124,FALSE,BTL
1988_125,FALSE,BTL
2021_1437,FALSE,BTL
1988_144,FALSE,BTL
1988_145,FALSE,BTL
2021_1619,TRUE,BTL
2021_1631,FALSE,BTL
1988_153,FALSE,BTL
1988_154,FALSE,BTL
2021_1898,TRUE,BTL
2021_1968,FALSE,BTL
2002_734,FALSE,BTL
1987_29,TRUE,BTL
1996_723,FALSE,BTL
1996_725,FALSE,BTL
2021_2309,FALSE,BTL
2021_2311,FALSE,BTL
1995_807,FALSE,BTL
1995_821,FALSE,BTL
1995_824,FALSE,BTL
2021_2317,FALSE,BTL
1995_860,FALSE,BTL
1995_869,FALSE,BTL
2021_2320,FALSE,BTL
1995_902,FALSE,BTL
1995_906,FALSE,BTL
1995_918,FALSE,BTL
1995_948,FALSE,BTL
2020_309,FALSE,BTL
2006_886,TRUE,BTL
2020_347,FALSE,BTL
2006_891,FALSE,BTL
2006_892,FALSE,BTL
2020_527,FALSE,BTL
2020_528,FALSE,BTL
2006_896,FALSE,BTL
1995_1007,FALSE,BTL
2020_533,FALSE,BTL
2020_536,FALSE,BTL
2020_537,FALSE,BTL
2020_538,FALSE,BTL
2020_539,FALSE,BTL
2020_541,FALSE,BTL
2019_605,FALSE,BTL
2019_607,FALSE,BTL
2019_608,FALSE,BTL
2019_630,FALSE,BTL
1995_1053,FALSE,BTL
1995_1054,FALSE,BTL
1995_1069,FALSE,BTL
2003_441,FALSE,BTL
2019_1522,FALSE,BTL
2019_1523,FALSE,BTL
2019_1524,FALSE,BTL
2019_1525,FALSE,BTL
2018_90,FALSE,BTL
2018_106,FALSE,BTL
2018_252,FALSE,BTL
2018_342,FALSE,BTL
2003_542,FALSE,BTL
2018_495,FALSE,BTL
2018_519,FALSE,BTL
2018_524,FALSE,BTL
2003_666,FALSE,BTL
2003_671,FALSE,BTL
2018_710,FALSE,BTL
2013_851,FALSE,BTL
