GID,ecoregion,YEAR,fire_cause,size_ha,lon,lat,start_date,end_date,ecoregion_lvl,PRESCRI
2001_357,Agassiz Clay Plain,2001,Undetermined,219.893699739,-94.5109440988747,48.7706428047848,2001-04-29,2001-05-01,6,
2000_532,Agassiz Clay Plain,2000,Undetermined,57.5422015096,-94.23603890192,48.8345747311637,2000-03-10,2000-03-16,6,
2024_462,Big Trout Lake,2024,Natural,569.159072303,-90.4414309324313,52.7917830568847,2024-08-14,2024-08-23,1,
2024_467,Big Trout Lake,2024,Natural,96.2706844576,-86.9106617681294,53.1027377868714,2024-08-02,2024-08-03,1,
2024_473,Big Trout Lake,2024,Natural,493.138994069,-89.952114277726,53.993660463543,2024-08-01,2024-08-29,1,
2024_482,Big Trout Lake,2024,Natural,838.936152894,-89.0206199990002,54.1968616237962,2024-07-24,2024-08-04,1,
2024_484,Big Trout Lake,2024,Natural,1117.88310027,-91.2381407399635,54.3177210346819,2024-07-28,2024-09-17,1,
2024_492,Big Trout Lake,2024,Natural,168.575407623,-88.269112657371,51.6660659689067,2024-06-23,2024-06-24,1,
2024_495,Big Trout Lake,2024,Natural,4019.78071367,-91.4072746238124,54.1081092626076,2024-08-01,2024-09-19,1,
2024_496,Big Trout Lake,2024,Natural,281.793546935,-91.4763140607806,54.149720442057,2024-08-02,2024-09-14,1,
2024_497,Big Trout Lake,2024,Natural,259.742256558,-91.4878392306196,53.7937047382161,2024-08-01,2024-08-22,1,
2024_498,Big Trout Lake,2024,Natural,45.1410099693,-91.5774309971007,53.7873477748355,2024-08-12,2024-08-15,1,
2024_501,Big Trout Lake,2024,Natural,360.830451294,-88.1971336030709,53.6222849943179,2024-08-17,2024-09-30,1,
2024_636,Big Trout Lake,2024,Natural,49.6347113454,-87.1568577383446,52.1404408512853,2024-07-09,2024-07-12,1,
1996_583,Big Trout Lake,1996,Natural,10330.4855239,-87.232349402415,50.6627893324291,1996-06-13,1996-06-19,1,
2024_650,Big Trout Lake,2024,Natural,115.66021459,-94.5031013446302,53.0588082237388,2024-07-27,2024-07-30,1,
2006_503,Big Trout Lake,2006,Natural,80.0222815306,-89.2777831137876,53.8896309215336,2006-07-08,2006-08-16,1,
2024_958,Big Trout Lake,2024,Natural,2.47779787044,-92.2383333303922,54.7499999974381,2024-09-16,2024-10-14,1,
1996_587,Big Trout Lake,1996,Natural,2285.01808032,-86.6853833016865,50.6355000931371,1996-06-13,1996-06-18,1,
2023_168,Big Trout Lake,2023,Natural,142.48409443,-87.2454359369232,52.9044221054503,2023-07-03,2023-10-24,1,
2023_169,Big Trout Lake,2023,Natural,1171.05548523,-86.2531183073392,52.3000833368738,2023-06-21,2023-07-03,1,
2017_1452,Big Trout Lake,2017,Natural,189.000654059,-93.7366229060387,53.5706398988356,2017-08-06,2017-09-08,1,
2006_614,Big Trout Lake,2006,Natural,674.130019532,-87.4312647697156,52.0470619847082,2006-08-31,2006-09-14,1,
2017_1542,Big Trout Lake,2017,Natural,151.272132683,-91.8039133411483,53.2200963915397,2017-07-30,2017-08-15,1,
2017_1548,Big Trout Lake,2017,Natural,130.770114329,-92.2042749796168,53.2139505036128,2017-07-05,2017-08-15,1,
2023_185,Big Trout Lake,2023,Natural,218.558656965,-91.69143491101,54.4832302907731,2023-07-04,2023-08-21,1,
2023_186,Big Trout Lake,2023,Natural,1771.37523216,-89.6569168933085,54.4117103103017,2023-06-21,2023-06-26,1,
2023_189,Big Trout Lake,2023,Natural,5716.39681618,-88.7419783420312,53.829858771924,2023-06-21,2023-07-06,1,
1988_76,Big Trout Lake,1988,Natural,117.633183332,-90.1713979813875,52.3323446042225,1988-06-30,1988-08-01,1,
2023_213,Big Trout Lake,2023,Natural,302.932347926,-87.8300555919125,53.4926007662518,2023-07-06,2023-07-22,1,
2023_1614,Big Trout Lake,2023,Natural,68.1501182626,-88.5692513314869,51.4036673228182,2023-07-02,2023-07-03,1,
2023_1617,Big Trout Lake,2023,Natural,63.7424058587,-87.0468957635736,53.1982145744909,2023-07-03,2023-08-13,1,
2023_1622,Big Trout Lake,2023,Natural,70.9275611441,-87.5319756737794,51.9491503042504,2023-07-03,2023-08-14,1,
2023_1624,Big Trout Lake,2023,Natural,103.309168054,-91.5847543422743,54.281899249149,2023-07-07,2023-08-21,1,
2023_1625,Big Trout Lake,2023,Natural,825.50542498,-89.2701001692549,52.1009204971132,2023-06-07,2023-06-10,1,
2023_1626,Big Trout Lake,2023,Natural,60.728811161,-87.4047807661592,52.8743550118382,2023-07-03,2023-10-24,1,
1988_86,Big Trout Lake,1988,Natural,263.318905371,-90.8424712615598,52.5846001079705,1988-06-08,1988-06-26,1,
1988_90,Big Trout Lake,1988,Natural,2620.81096899,-89.9319479911338,52.5877468956672,1988-08-15,1988-09-07,1,
2023_1634,Big Trout Lake,2023,Natural,67.0946653799,-91.8374532740812,53.5838895680305,2023-06-08,2023-07-13,1,
2023_1640,Big Trout Lake,2023,Natural,97.8923156778,-89.2534518581349,52.4822720556388,2023-06-21,2023-06-27,1,
2022_254,Big Trout Lake,2022,Undetermined,453.167797313,-88.0172018103015,52.0515524919614,2022-07-08,2022-08-07,1,
2017_1877,Big Trout Lake,2017,Natural,265.313580895,-88.305606527306,52.1789408776147,2017-07-19,2017-09-19,1,
1988_96,Big Trout Lake,1988,Natural,5726.21833795,-91.827008942691,52.72967301061,1988-06-25,1988-09-06,1,
2017_1970,Big Trout Lake,2017,Natural,97.1777850554,-89.017873813031,52.0127305755248,2017-08-24,2017-09-18,1,
1988_98,Big Trout Lake,1988,Natural,1181.93977403,-92.8594574285697,52.8282458218043,1988-08-04,1988-10-05,1,
2021_1169,Big Trout Lake,2021,Natural,2631.60402682,-85.9173325816661,50.2744428590752,2021-07-13,2021-08-27,1,
2021_1197,Big Trout Lake,2021,Natural,245.767740251,-90.5988263258685,53.3787614512676,2021-07-03,2021-07-08,1,
1988_110,Big Trout Lake,1988,Natural,259.230033358,-90.460469640741,53.0149932033188,1988-07-10,1988-08-09,1,
2021_1290,Big Trout Lake,2021,Natural,410.163575884,-88.9176433761382,51.6164514483269,2021-07-21,2021-07-22,1,
1988_120,Big Trout Lake,1988,Natural,1049.33573299,-88.9681065702052,53.2528294851281,1988-08-11,1988-08-31,1,
1988_124,Big Trout Lake,1988,Natural,1413.8220316,-93.1167320687203,53.4606250259843,1988-08-06,1988-10-05,1,
1988_125,Big Trout Lake,1988,Natural,291.841151714,-93.6246712372233,53.5347527659593,1988-07-06,1988-08-06,1,
2021_1437,Big Trout Lake,2021,Natural,323.718845401,-88.7333774584645,51.8135702504763,2021-07-22,2021-07-23,1,
1988_144,Big Trout Lake,1988,Natural,189.269716447,-87.5219628583111,53.7318672357203,1988-07-05,1988-08-07,1,
1988_145,Big Trout Lake,1988,Natural,1599.08361739,-92.7374967905132,53.9964022812201,1988-07-23,1988-10-05,1,
2021_1619,Big Trout Lake,2021,Natural,97.5226122549,-88.9028508331653,51.2614557596788,2021-07-15,2021-08-16,1,
2021_1631,Big Trout Lake,2021,Natural,385.925839649,-87.7704799539704,52.111883842287,2021-07-06,2021-07-08,1,
1988_153,Big Trout Lake,1988,Natural,18747.9728327,-93.210111876023,53.9640651255951,1988-07-13,1988-10-05,1,
1988_154,Big Trout Lake,1988,Natural,198.87165817,-87.8388328608892,53.8965220249001,1988-07-05,1988-08-07,1,
2021_1898,Big Trout Lake,2021,Natural,315.038743923,-88.4039610898917,51.3659717264408,2021-07-20,2021-07-22,1,
2021_1968,Big Trout Lake,2021,Natural,83.2017286392,-86.7476123365663,51.3526629169188,2021-07-13,2021-07-29,1,
2002_734,Big Trout Lake,2002,Natural,52.2865138547,-88.6590240537947,53.9531899006187,2002-07-18,2002-08-15,1,
1987_29,Big Trout Lake,1987,Natural,273.882535848,-87.6162376687792,51.1288978506267,1987-06-23,1987-07-13,1,
1996_723,Big Trout Lake,1996,Natural,200.899826155,-87.1093111484911,52.4057529691965,1996-06-13,1996-07-07,1,
1996_725,Big Trout Lake,1996,Natural,222.470877831,-90.080208614914,53.3371184545157,1996-07-15,1996-08-14,1,
2021_2309,Big Trout Lake,2021,Natural,156.396828628,-87.2907281087136,53.3418333186506,2021-08-03,2021-09-21,1,
2021_2311,Big Trout Lake,2021,Natural,471.343749837,-88.0186458688292,52.0518504836114,2021-07-17,2021-09-01,1,
1995_807,Big Trout Lake,1995,Undetermined,4771.35675144,-91.5143015722536,54.5473674957087,1995-06-18,1995-06-26,1,
1995_821,Big Trout Lake,1995,Undetermined,2367.61585195,-91.2747456500046,54.5027922298461,1995-06-15,1995-06-19,1,
1995_824,Big Trout Lake,1995,Undetermined,2369.98584652,-89.4423923449117,54.3943574750182,1995-06-18,1995-06-25,1,
2021_2317,Big Trout Lake,2021,Natural,191.185240041,-90.0166064186803,52.5636208465834,2021-07-16,2021-09-16,1,
1995_860,Big Trout Lake,1995,Undetermined,9801.37558865,-90.3732891860022,54.2668154989439,1995-06-17,1995-06-22,1,
1995_869,Big Trout Lake,1995,Undetermined,2599.36392584,-88.8029838940032,54.1087298326706,1995-08-06,1995-08-08,1,
2021_2320,Big Trout Lake,2021,Natural,85.6699427788,-91.9288033127676,52.6549130445472,2021-07-28,2021-09-16,1,
1995_902,Big Trout Lake,1995,Undetermined,806.298915661,-92.6362382155809,54.0586615520923,1995-06-22,1995-06-24,1,
1995_906,Big Trout Lake,1995,Undetermined,15668.54641,-92.9569389391047,53.9679652339735,1995-06-19,1995-07-05,1,
1995_918,Big Trout Lake,1995,Natural,3183.65235715,-90.9404806176452,53.8758235208057,1995-06-14,1995-07-10,1,
1995_948,Big Trout Lake,1995,Natural,16171.9768373,-88.4252723706014,53.5182280622663,1995-06-18,1995-06-28,1,
2020_309,Big Trout Lake,2020,Natural,260.465138694,-90.2752454778255,54.0490910492339,2020-07-19,2020-08-30,1,
2006_886,Big Trout Lake,2006,Natural,55.127925623,-87.3734881516426,50.7480121935029,2006-07-15,2006-08-03,1,
2020_347,Big Trout Lake,2020,Natural,707.910777481,-86.928554108041,51.5279952312256,2020-08-10,2020-08-13,1,
2006_891,Big Trout Lake,2006,Natural,259.070763982,-94.3874891266972,52.8694274576842,2006-08-31,2006-10-31,1,
2006_892,Big Trout Lake,2006,Natural,27.8108999375,-89.0830969388561,53.1456149364889,2006-07-14,2006-08-16,1,
2020_527,Big Trout Lake,2020,Natural,56.6320591741,-87.6623507030101,51.4056651280456,2020-07-09,2020-07-25,1,
2020_528,Big Trout Lake,2020,Natural,47.5143579873,-87.0696660354104,51.5040589948163,2020-08-08,2020-09-05,1,
2006_896,Big Trout Lake,2006,Undetermined,223.140724714,-89.6082784999422,53.8286183066705,2006-07-14,2006-07-24,1,
1995_1007,Big Trout Lake,1995,Natural,3761.84570015,-88.9219507842836,53.0370857811045,1995-06-21,1995-06-22,1,
2020_533,Big Trout Lake,2020,Natural,40.1862234073,-88.14047521288,52.0862107300416,2020-08-08,2020-08-20,1,
2020_536,Big Trout Lake,2020,Natural,104.566540434,-88.9247619949756,53.6400608935643,2020-07-09,2020-07-23,1,
2020_537,Big Trout Lake,2020,Natural,89.8149245369,-90.7432410861571,53.8055347815386,2020-08-08,2020-08-30,1,
2020_538,Big Trout Lake,2020,Natural,110.030042057,-89.8399531078439,53.9532084018079,2020-07-19,2020-08-03,1,
2020_539,Big Trout Lake,2020,Natural,138.220843504,-89.7472711856105,54.4014945197518,2020-07-23,2020-09-17,1,
2020_541,Big Trout Lake,2020,Natural,112.408371242,-89.2259963380378,54.3935025191242,2020-07-23,2020-09-17,1,
2019_605,Big Trout Lake,2019,Natural,1013.03706768,-92.1287599939832,53.5844643110527,2019-07-27,2019-07-28,1,
2019_607,Big Trout Lake,2019,Natural,333.09141035,-91.6054793379292,53.5285557066163,2019-07-27,2019-07-28,1,
