GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2000_532,532,2000_532,2000-02-10,2000-03-10,967,0.15641381549972583,3.237475872039795,6863.984381914139,5.826811869197062
2001_357,357,2001_357,2001-03-29,2001-04-29,390,0.1280427375439311,3.0257210731506348,6863.984381914139,5.826811869197062
1986_49,49,1986_49,1986-05-18,1986-06-18,13075,0.2982898883736132,3.329263925552368,6863.984381914139,5.826811869197062
1986_45,45,1986_45,1986-05-20,1986-06-20,12384,0.305624712230504,3.436401844024658,6863.984381914139,5.826811869197062
1986_70,70,1986_70,1986-07-20,1986-08-20,4862,0.32246430588258673,2.759223222732544,6863.984381914139,5.826811869197062
1987_72,72,1987_72,1987-05-21,1987-06-21,26920,0.31700795006484955,3.5990090370178223,6863.984381914139,5.826811869197062
1988_99,99,1988_99,1988-05-11,1988-06-11,245359,0.26717089508395203,5.9591569900512695,6863.984381914139,5.826811869197062
1988_96,96,1988_96,1988-05-25,1988-06-25,103123,0.3234969402502196,4.898292779922485,6863.984381914139,5.826811869197062
1988_125,125,1988_125,1988-06-06,1988-07-06,5404,0.27580359302427876,2.282474994659424,6863.984381914139,5.826811869197062
1988_110,110,1988_110,1988-06-10,1988-07-10,4583,0.3239068001077313,2.276124954223633,6863.984381914139,5.826811869197062
1988_120,120,1988_120,1988-07-11,1988-08-11,17922,0.295565480167596,3.404879331588745,6863.984381914139,5.826811869197062
1988_90,90,1988_90,1988-07-15,1988-08-15,46368,0.315937900325677,5.413161039352417,6863.984381914139,5.826811869197062
1988_81,81,1988_81,1988-07-15,1988-08-15,10697,0.31188987636144644,3.1422600746154785,6863.984381914139,5.826811869197062
1989_1028,1028,1989_1028,1989-04-16,1989-05-16,13274,0.21472656925920322,2.8317911624908447,6863.984381914139,5.826811869197062
1989_885,885,1989_885,1989-04-16,1989-05-16,2029,0.15630233516780312,2.5667850971221924,6863.984381914139,5.826811869197062
1989_1156,1156,1989_1156,1989-05-18,1989-06-18,7005,0.23185708547073205,2.703061819076538,6863.984381914139,5.826811869197062
